Policy,Policy key,Date,Turnover,TQQQ weight,QLD weight,Locked risk asset,Prior TQQQ volatility %
Entry-locked TQQQ target 30%,entry_target_30,2022-02-01,0.6991727008475994,0.34958635042379976,0.0,TQQQ,85.81570751727384
Entry-locked TQQQ target 30%,entry_target_30,2023-12-14,0.6991727008475994,0.0,0.0,VOO,29.79996565605512
Entry-locked TQQQ target 30%,entry_target_30,2025-05-13,0.7556658800205542,0.3778329400102771,0.0,TQQQ,79.40017087759472
Entry-locked TQQQ target 30%,entry_target_30,2025-10-13,0.7556658800205542,0.0,0.0,VOO,46.99001420573944
Entry-locked TQQQ target 30%,entry_target_30,2026-04-09,0.8243829607544417,0.4121914803772209,0.0,TQQQ,72.78170808514824
Entry-locked TQQQ target 30%,entry_target_30,2026-06-08,0.8243829607544417,0.0,0.0,VOO,69.8382021642466
Entry-locked half-size above 60% volatility,entry_high_vol_half,2011-06-24,2.0,1.0,0.0,TQQQ,54.6964755574319
Entry-locked half-size above 60% volatility,entry_high_vol_half,2012-04-17,2.0,0.0,0.0,VOO,42.52044148335713
Entry-locked half-size above 60% volatility,entry_high_vol_half,2012-11-20,2.0,1.0,0.0,TQQQ,56.483964305748025
Entry-locked half-size above 60% volatility,entry_high_vol_half,2013-04-19,2.0,0.0,0.0,VOO,50.125053786217855
Entry-locked half-size above 60% volatility,entry_high_vol_half,2014-10-22,1.0,0.5,0.0,TQQQ,67.9661298049386
Entry-locked half-size above 60% volatility,entry_high_vol_half,2014-12-16,1.0,0.0,0.0,VOO,34.07276281811452
Entry-locked half-size above 60% volatility,entry_high_vol_half,2015-10-26,1.0,0.5,0.0,TQQQ,61.19433262384227
Entry-locked half-size above 60% volatility,entry_high_vol_half,2016-04-19,1.0,0.0,0.0,VOO,38.87126087160927
Entry-locked half-size above 60% volatility,entry_high_vol_half,2018-11-08,1.0,0.5,0.0,TQQQ,102.64437181349291
Entry-locked half-size above 60% volatility,entry_high_vol_half,2019-05-14,1.0,0.0,0.0,VOO,50.20878674772019
Entry-locked half-size above 60% volatility,entry_high_vol_half,2020-03-03,1.0,0.5,0.0,TQQQ,100.40500155791622
Entry-locked half-size above 60% volatility,entry_high_vol_half,2020-09-04,1.0,0.0,0.0,VOO,78.51699642924987
Entry-locked half-size above 60% volatility,entry_high_vol_half,2022-02-01,1.0,0.5,0.0,TQQQ,85.81570751727384
Entry-locked half-size above 60% volatility,entry_high_vol_half,2023-12-14,1.0,0.0,0.0,VOO,29.79996565605512
Entry-locked half-size above 60% volatility,entry_high_vol_half,2025-05-13,1.0,0.5,0.0,TQQQ,79.40017087759472
Entry-locked half-size above 60% volatility,entry_high_vol_half,2025-10-13,1.0,0.0,0.0,VOO,46.99001420573944
Entry-locked half-size above 60% volatility,entry_high_vol_half,2026-04-09,1.0,0.5,0.0,TQQQ,72.78170808514824
Entry-locked half-size above 60% volatility,entry_high_vol_half,2026-06-08,1.0,0.0,0.0,VOO,69.8382021642466
Entry-locked TQQQ/QLD volatility ladder,entry_leverage_ladder,2011-06-24,2.0,1.0,0.0,TQQQ,54.6964755574319
Entry-locked TQQQ/QLD volatility ladder,entry_leverage_ladder,2012-04-17,2.0,0.0,0.0,VOO,42.52044148335713
Entry-locked TQQQ/QLD volatility ladder,entry_leverage_ladder,2012-11-20,2.0,1.0,0.0,TQQQ,56.483964305748025
Entry-locked TQQQ/QLD volatility ladder,entry_leverage_ladder,2013-04-19,2.0,0.0,0.0,VOO,50.125053786217855
Entry-locked TQQQ/QLD volatility ladder,entry_leverage_ladder,2014-10-22,2.0,0.0,1.0,QLD,67.9661298049386
Entry-locked TQQQ/QLD volatility ladder,entry_leverage_ladder,2014-12-16,2.0,0.0,0.0,VOO,34.07276281811452
Entry-locked TQQQ/QLD volatility ladder,entry_leverage_ladder,2015-10-26,2.0,0.0,1.0,QLD,61.19433262384227
Entry-locked TQQQ/QLD volatility ladder,entry_leverage_ladder,2016-04-19,2.0,0.0,0.0,VOO,38.87126087160927
Entry-locked TQQQ/QLD volatility ladder,entry_leverage_ladder,2018-11-08,2.0,0.0,1.0,QLD,102.64437181349291
Entry-locked TQQQ/QLD volatility ladder,entry_leverage_ladder,2019-05-14,2.0,0.0,0.0,VOO,50.20878674772019
Entry-locked TQQQ/QLD volatility ladder,entry_leverage_ladder,2020-03-03,2.0,0.0,1.0,QLD,100.40500155791622
Entry-locked TQQQ/QLD volatility ladder,entry_leverage_ladder,2020-09-04,2.0,0.0,0.0,VOO,78.51699642924987
Entry-locked TQQQ/QLD volatility ladder,entry_leverage_ladder,2022-02-01,2.0,0.0,1.0,QLD,85.81570751727384
Entry-locked TQQQ/QLD volatility ladder,entry_leverage_ladder,2023-12-14,2.0,0.0,0.0,VOO,29.79996565605512
Entry-locked TQQQ/QLD volatility ladder,entry_leverage_ladder,2025-05-13,2.0,0.0,1.0,QLD,79.40017087759472
Entry-locked TQQQ/QLD volatility ladder,entry_leverage_ladder,2025-10-13,2.0,0.0,0.0,VOO,46.99001420573944
Entry-locked TQQQ/QLD volatility ladder,entry_leverage_ladder,2026-04-09,2.0,0.0,1.0,QLD,72.78170808514824
Entry-locked TQQQ/QLD volatility ladder,entry_leverage_ladder,2026-06-08,2.0,0.0,0.0,VOO,69.8382021642466
