Period,Return %,VOO return %,Excess vs VOO %,Annualized %,Sharpe,Max drawdown %,Recovery sessions,TQQQ time %,Turnover,Sessions
2025,58.60471964062093,17.82335609506007,40.78136354556086,59.46082480326109,1.668846327009168,-18.68940467747504,36,42.0,2.0,250
2026,64.08739770999613,13.176333367473326,50.91106434252279,106.20513688334702,2.453057901155249,-16.246275263047295,-1,23.976608187134502,2.0,171
rolling_252_2011-09-07,5.411222678183347,9.428247113975141,-4.017024435791794,6.681365654356908,0.35159967363685124,-43.91141392057016,-1,20.634920634920633,1.0,252
rolling_252_2011-12-06,3.443230984885104,4.92955717382062,-1.4863261889355162,3.040037096608317,0.36580634039492366,-43.911413920570176,-1,45.63492063492063,1.0,252
rolling_252_2012-03-08,38.194735241743636,5.667992527398469,32.52674271434517,40.94037051529544,0.8266222207956136,-43.91141392057014,173,70.63492063492063,1.0,252
rolling_252_2012-06-07,41.96833206881336,5.013514700675836,36.954817368137526,41.054208433581785,0.8640584599980986,-43.91141392057014,173,80.95238095238095,2.0,252
rolling_252_2012-09-06,71.42268154210907,22.146044288421617,49.27663725368745,74.16067013423702,1.3599243590250532,-28.963800796262984,55,60.317460317460316,1.0,252
rolling_252_2012-12-07,62.21721819565713,15.251756084683388,46.965462110973746,61.8116043355913,1.8762041999115604,-17.223515876478945,-1,40.476190476190474,2.0,252
rolling_252_2013-03-12,32.694946697410664,16.26473547452827,16.430211222882395,30.84518045625917,1.1603034167371002,-17.22351587647889,190,40.476190476190474,2.0,252
rolling_252_2013-06-11,31.579405323519772,26.469477332728488,5.109927990791285,30.23929291152465,1.1244114568212533,-12.113190730669176,-1,40.476190476190474,2.0,252
rolling_252_2013-09-10,25.08642405467889,20.22865305340842,4.857771001270472,24.370672315806008,0.9483563491719036,-12.113190730669189,-1,40.476190476190474,2.0,252
rolling_252_2013-12-09,32.100705151334495,30.31976542445185,1.7809397268826466,31.058356718295865,1.1815579082102767,-12.113190730669155,182,35.317460317460316,1.0,252
rolling_252_2014-03-12,15.756938947561029,22.843723083185875,-7.086784135624846,16.18440860557815,0.9137564996714692,-12.1131907306692,182,10.317460317460316,1.0,252
rolling_252_2014-06-11,22.07627166398243,22.07627166398236,6.661338147750939e-14,23.119536340845627,1.8708702697946062,-5.667840415560099,21,0.0,0.0,252
rolling_252_2014-09-10,20.93533842354349,20.935338423543627,-1.3322676295501878e-13,20.63885376099752,1.920700437007181,-5.667840415560121,21,0.0,0.0,252
rolling_252_2014-12-09,36.8878987109587,16.126241472441237,20.76165723851746,37.508701374464934,2.16773662694493,-7.299542304878493,8,13.492063492063492,1.0,252
rolling_252_2015-03-12,22.089010928205322,12.22423696108872,9.864773967116601,23.545108462362975,1.2561942763724716,-14.347206938525181,-1,15.079365079365079,2.0,252
rolling_252_2015-06-11,19.773030887742138,10.095387764243945,9.677643123498193,20.749104478150727,1.1405517804367507,-14.347206938525204,-1,15.079365079365079,2.0,252
rolling_252_2015-09-10,8.015489669400932,-0.7121458682695203,8.727635537670453,7.943796695982641,0.49268060270609065,-18.25831939215794,-1,15.079365079365079,2.0,252
rolling_252_2015-12-09,-6.562490405096833,0.9596261548396878,-7.522116559936521,-1.8140000608753315,-0.19110864505622172,-13.052137670894004,-1,14.285714285714285,2.0,252
rolling_252_2016-03-11,-18.643042276208345,-0.017726824645647454,-18.625315451562695,-18.19944732115716,-0.29337286847106603,-43.45390955006948,-1,37.698412698412696,1.0,252
rolling_252_2016-06-10,-8.449551731888505,1.485165685640255,-9.93471741752876,-7.799861980240408,0.006602523169920977,-43.45390955006946,-1,47.61904761904761,2.0,252
rolling_252_2016-09-09,0.44851875191391777,11.348822002064374,-10.900303250150456,0.030828590789000465,0.2210964179552373,-43.45390955006948,-1,47.61904761904761,2.0,252
rolling_252_2016-12-08,0.8314327212127326,12.087277779532112,-11.25584505831938,-0.5804139037884015,0.2167119004828228,-41.95828614832756,-1,34.92063492063492,1.0,252
rolling_252_2017-03-13,32.89438081035196,19.872731495630227,13.021649314721738,32.2508293848833,2.0117201662839412,-5.581635069956892,11,9.920634920634921,1.0,252
rolling_252_2017-06-12,18.334674139123596,18.334674139124086,-4.884981308350689e-13,19.304033388829247,1.8254520424217089,-5.346703854922996,11,0.0,0.0,252
