Fold,Policy key,Train end,Test start,Test end,Test excess %,Test CAGR %,Test max drawdown %,Test Sharpe,Test turnover
5,tqqq_target_60,2019-09-06,2019-09-09,2020-09-08,45.76611165222029,59.82031705735,-47.55151987177448,1.072329550600921,8.784872339374061
5,tqqq_target_50,2019-09-06,2019-09-09,2020-09-08,40.19015591975881,54.24024799594795,-45.383096352358066,1.038883416674779,9.022925057306793
5,tqqq_target_40,2019-09-06,2019-09-09,2020-09-08,33.661902819617275,47.70735505776018,-43.43182093381288,0.9952420930583448,7.668595083145975
5,tqqq_target_30,2019-09-06,2019-09-09,2020-09-08,25.97157518056621,40.01181612431177,-42.22641333135266,0.9212131885403929,5.434763236362268
5,tqqq_high_vol_half,2019-09-06,2019-09-09,2020-09-08,26.124876390473204,40.16521844107386,-49.510846829579926,0.8529236547316158,8.0
5,tqqq_half,2019-09-06,2019-09-09,2020-09-08,29.94107282929668,43.98396849611643,-49.510846829579926,0.9050639316038303,2.0
5,qld_same_signal,2019-09-06,2019-09-09,2020-09-08,42.97654147079661,57.02867207080982,-46.9575931428403,1.0325681456563462,4.0
5,tqqq_qld_mix,2019-09-06,2019-09-09,2020-09-08,48.985543988716906,63.04218537164805,-55.62947504724758,1.0291105771116476,4.0
5,leverage_ladder,2019-09-06,2019-09-09,2020-09-08,39.32029861288346,53.36976133821525,-46.9575931428403,0.9827795565956391,14.0
6,current_tqqq,2020-09-08,2020-09-09,2021-09-08,8.881784197001252e-14,34.9829894936573,-7.382920031274698,2.3492111112473415,0.0
6,tqqq_target_60,2020-09-08,2020-09-09,2021-09-08,8.881784197001252e-14,34.982989493657215,-7.382920031274642,2.3492111112473393,0.0
6,tqqq_target_50,2020-09-08,2020-09-09,2021-09-08,8.881784197001252e-14,34.982989493657215,-7.382920031274642,2.3492111112473393,0.0
6,tqqq_target_40,2020-09-08,2020-09-09,2021-09-08,8.881784197001252e-14,34.982989493657215,-7.382920031274642,2.3492111112473393,0.0
6,tqqq_target_30,2020-09-08,2020-09-09,2021-09-08,8.881784197001252e-14,34.982989493657215,-7.382920031274642,2.3492111112473393,0.0
6,tqqq_high_vol_half,2020-09-08,2020-09-09,2021-09-08,8.881784197001252e-14,34.982989493657215,-7.382920031274642,2.3492111112473393,0.0
6,tqqq_half,2020-09-08,2020-09-09,2021-09-08,8.881784197001252e-14,34.982989493657215,-7.382920031274642,2.3492111112473393,0.0
6,qld_same_signal,2020-09-08,2020-09-09,2021-09-08,8.881784197001252e-14,34.982989493657215,-7.382920031274642,2.3492111112473393,0.0
6,tqqq_qld_mix,2020-09-08,2020-09-09,2021-09-08,8.881784197001252e-14,34.982989493657215,-7.382920031274642,2.3492111112473393,0.0
6,leverage_ladder,2020-09-08,2020-09-09,2021-09-08,8.881784197001252e-14,34.982989493657215,-7.382920031274642,2.3492111112473393,0.0
7,current_tqqq,2021-09-08,2021-09-09,2022-09-08,-44.86746481650593,-54.729946186889265,-66.99824661115137,-0.6523891225741514,2.0
7,tqqq_target_60,2021-09-08,2021-09-09,2022-09-08,-31.241962428439617,-41.02676859462464,-54.23954015391141,-0.6816154586036407,7.495332217020651
7,tqqq_target_50,2021-09-08,2021-09-09,2022-09-08,-26.34223961951677,-36.0962951934615,-49.78043600584351,-0.6647198354159388,6.246110180850539
7,tqqq_target_40,2021-09-08,2021-09-09,2022-09-08,-21.28348716630728,-31.004427510499955,-45.025068437286485,-0.6422568596550718,4.996888144680435
7,tqqq_target_30,2021-09-08,2021-09-09,2022-09-08,-15.977584649909549,-25.662410064659223,-39.87852131214491,-0.6044943085427918,3.5813536662607213
7,tqqq_high_vol_half,2021-09-08,2021-09-09,2022-09-08,-23.599224618341243,-33.33548965727952,-48.01056107591683,-0.6071396048225733,1.0
7,tqqq_half,2021-09-08,2021-09-09,2022-09-08,-23.599224618341243,-33.33548965727952,-48.01056107591683,-0.6071396048225733,1.0
7,qld_same_signal,2021-09-08,2021-09-09,2022-09-08,-26.778136130150486,-36.53498168443876,-50.53125679696803,-0.6182513025071381,2.0
7,tqqq_qld_mix,2021-09-08,2021-09-09,2022-09-08,-36.17348782446157,-45.9878181723986,-59.363577456844276,-0.6391964917446451,2.0
7,leverage_ladder,2021-09-08,2021-09-09,2022-09-08,-26.778136130150486,-36.53498168443876,-50.53125679696803,-0.6182513025071381,2.0
8,current_tqqq,2022-09-08,2022-09-09,2023-09-08,33.23437716633224,37.80880898420711,-47.48182376649108,0.8913172087846483,0.0
8,tqqq_target_60,2022-09-08,2022-09-09,2023-09-08,52.81953279882261,57.63225362087117,-37.73963531085661,1.1455062014766784,7.3181463393449135
8,tqqq_target_50,2022-09-08,2022-09-09,2023-09-08,50.74555013136435,56.63460744525884,-33.164002411268456,1.1757632501206914,8.953802215383014
8,tqqq_target_40,2022-09-08,2022-09-09,2023-09-08,43.00799567341809,50.15694546571654,-28.395645876591523,1.1717791529046806,10.743374000196756
8,tqqq_target_30,2022-09-08,2022-09-09,2023-09-08,32.40151172235826,40.810767549480495,-24.31847024932049,1.13784365981012,8.02705830607225
8,tqqq_high_vol_half,2022-09-08,2022-09-09,2023-09-08,38.21280746659177,45.831637043800086,-29.042038793110436,1.0617414515584902,9.0
8,tqqq_half,2022-09-08,2022-09-09,2023-09-08,20.51109332764829,28.72243413911999,-29.042038793110436,0.8815887111530161,0.0
8,qld_same_signal,2022-09-08,2022-09-09,2023-09-08,25.046539936830214,32.59653682835755,-32.688053024483565,0.9181012342298883,0.0
8,tqqq_qld_mix,2022-09-08,2022-09-09,2023-09-08,30.078314525680238,36.12471080765582,-40.315903902393494,0.9030242232077633,0.0
8,leverage_ladder,2022-09-08,2022-09-09,2023-09-08,36.76247780724351,43.877462255393326,-32.688053024483565,1.0202381430121192,18.0
